County,Alcohol_N,Drugs_N,Unknown_N,Total_N,Population_2021,Alcohol_Rate,Drugs_Rate,Unknown_Rate,Total_Rate
Atlantic,2359,5040,4,7403,275638,856,1828,1,2686
Bergen,1345,1775,4,3124,952997,141,186,0,328
Burlington,1447,2306,7,3760,466103,310,495,2,807
Camden,2301,5081,8,7390,524907,438,968,2,1408
Cape May,968,1353,1,2322,95634,1012,1415,1,2428
Cumberland,1075,1766,2,2843,151356,710,1167,1,1878
Essex,2254,5938,2,8194,849477,265,699,0,965
Gloucester,1293,2739,1,4033,306601,422,893,0,1315
Hudson,1088,2903,1,3992,703366,155,413,0,568
Hunterdon,314,417,0,731,129777,242,321,0,563
Mercer,1231,2596,3,3830,380688,323,682,1,1006
Middlesex,2372,3488,9,5869,861418,275,405,1,681
Monmouth,2800,3328,8,6136,644098,435,517,1,953
Morris,977,1090,5,2072,511151,191,213,1,405
Ocean,2786,3804,9,6599,655735,425,580,1,1006
Passaic,1427,3102,4,4533,513936,278,604,1,882
Salem,275,663,2,940,65117,422,1018,3,1444
Somerset,812,819,1,1632,346875,234,236,0,470
Sussex,501,532,1,1034,146084,343,364,1,708
Union,1286,2342,0,3628,569815,226,411,0,637
Warren,384,593,0,977,110926,346,535,0,881
Total,29295,51675,72,81042,9261699,316,558,1,875
