County,Alcohol_N,Alcohol_%,Cocaine_N,Cocaine_%,Heroin_N,Heroin_%,OtherOpiates_N,OtherOpiates_%,Marijuana_N,Marijuana_%,Meth_N,Meth_%,Other_N,Other_%,Total_N,Total_%
Atlantic,2359,8,317,7,3349,11,528,9,366,7,128,11,356,10,7403,9
Bergen,1345,5,210,4,862,3,255,4,281,5,32,3,139,4,3124,4
Burlington,1447,5,201,4,1236,4,398,7,189,3,98,8,191,5,3760,5
Camden,2301,8,459,10,2782,9,814,13,430,8,111,9,493,13,7390,9
Cape May,968,3,84,2,770,3,124,2,125,2,129,11,122,3,2322,3
Cumberland,1075,4,177,4,1034,3,227,4,174,3,60,5,96,3,2843,4
Essex,2254,8,489,10,3830,13,521,9,730,13,44,4,326,9,8194,10
Gloucester,1293,4,317,7,1534,5,394,6,133,2,129,11,233,6,4033,5
Hudson,1088,4,247,5,1520,5,216,4,686,12,24,2,211,6,3992,5
Hunterdon,314,1,42,1,253,1,53,1,15,0,17,1,37,1,731,1
Mercer,1231,4,296,6,1415,5,393,6,315,6,21,2,159,4,3830,5
Middlesex,2372,8,355,7,2099,7,438,7,341,6,53,4,211,6,5869,7
Monmouth,2800,10,372,8,2041,7,374,6,273,5,64,5,212,6,6136,8
Morris,977,3,140,3,587,2,96,2,133,2,32,3,107,3,2072,3
Ocean,2786,10,317,7,2509,8,437,7,178,3,90,8,282,8,6599,8
Passaic,1427,5,345,7,1723,6,279,5,546,10,18,2,195,5,4533,6
Salem,275,1,89,2,354,1,78,1,33,1,43,4,68,2,940,1
Somerset,812,3,73,2,454,1,103,2,90,2,24,2,76,2,1632,2
Sussex,501,2,45,1,309,1,51,1,85,2,1,0,42,1,1034,1
Union,1286,4,206,4,1407,5,250,4,337,6,20,2,122,3,3628,4
Warren,384,1,34,1,345,1,79,1,48,1,53,4,34,1,977,1
Total,29295,100,4815,100,30413,100,6108,100,5508,100,1191,100,3712,100,81042,100
