County,Alcohol_N,Alcohol_%,Cocaine_N,Cocaine_%,Heroin_N,Heroin_%,OtherOpiates_N,OtherOpiates_%,Marijuana_N,Marijuana_%,Meth_N,Meth_%,Other_N,Other_%,Total_N,Total_%
Atlantic,2359,32,317,4,3349,45,528,7,366,5,128,2,356,5,7403,100
Bergen,1345,43,210,7,862,28,255,8,281,9,32,1,139,4,3124,100
Burlington,1447,38,201,5,1236,33,398,11,189,5,98,3,191,5,3760,100
Camden,2301,31,459,6,2782,38,814,11,430,6,111,2,493,7,7390,100
Cape May,968,42,84,4,770,33,124,5,125,5,129,6,122,5,2322,100
Cumberland,1075,38,177,6,1034,36,227,8,174,6,60,2,96,3,2843,100
Essex,2254,28,489,6,3830,47,521,6,730,9,44,1,326,4,8194,100
Gloucester,1293,32,317,8,1534,38,394,10,133,3,129,3,233,6,4033,100
Hudson,1088,27,247,6,1520,38,216,5,686,17,24,1,211,5,3992,100
Hunterdon,314,43,42,6,253,35,53,7,15,2,17,2,37,5,731,100
Mercer,1231,32,296,8,1415,37,393,10,315,8,21,1,159,4,3830,100
Middlesex,2372,40,355,6,2099,36,438,7,341,6,53,1,211,4,5869,100
Monmouth,2800,46,372,6,2041,33,374,6,273,4,64,1,212,3,6136,100
Morris,977,47,140,7,587,28,96,5,133,6,32,2,107,5,2072,100
Ocean,2786,42,317,5,2509,38,437,7,178,3,90,1,282,4,6599,100
Passaic,1427,31,345,8,1723,38,279,6,546,12,18,0,195,4,4533,100
Salem,275,29,89,9,354,38,78,8,33,4,43,5,68,7,940,100
Somerset,812,50,73,4,454,28,103,6,90,6,24,1,76,5,1632,100
Sussex,501,48,45,4,309,30,51,5,85,8,1,0,42,4,1034,100
Union,1286,35,206,6,1407,39,250,7,337,9,20,1,122,3,3628,100
Warren,384,39,34,3,345,35,79,8,48,5,53,5,34,3,977,100
Total,29295,36,4815,6,30413,38,6108,8,5508,7,1191,1,3712,5,81042,100
