County,Alcohol_N,Alcohol_%,Cocaine_N,Cocaine_%,Heroin_N,Heroin_%,OtherOpiates_N,OtherOpiates_%,Marijuana_N,Marijuana_%,Meth_N,Meth_%,Other_N,Other_%,Total_N,Total_%
Atlantic,400,5,40,6,150,8,77,6,91,4,18,8,43,7,819,6
Bergen,468,6,45,6,65,4,66,5,155,7,4,2,33,5,836,6
Burlington,355,5,31,4,100,6,107,9,82,3,22,9,34,6,731,5
Camden,446,6,61,9,168,9,145,12,151,6,19,8,56,9,1046,7
Cape May,197,3,6,1,40,2,20,2,31,1,14,6,13,2,321,2
Cumberland,263,4,30,4,82,5,59,5,101,4,11,5,16,3,562,4
Essex,675,9,92,13,255,14,117,10,345,15,12,5,77,13,1573,11
Gloucester,263,4,28,4,81,4,44,4,38,2,30,13,28,5,512,4
Hudson,388,5,50,7,99,5,46,4,362,15,8,3,32,5,985,7
Hunterdon,69,1,4,1,5,0,14,1,3,0,6,3,10,2,111,1
Mercer,286,4,37,5,103,6,78,6,85,4,7,3,24,4,620,4
Middlesex,654,9,48,7,107,6,72,6,148,6,17,7,41,7,1087,8
Monmouth,655,9,64,9,103,6,58,5,122,5,17,7,51,8,1070,8
Morris,284,4,11,2,36,2,30,2,51,2,7,3,23,4,442,3
Ocean,605,8,38,5,109,6,90,7,78,3,12,5,34,6,966,7
Passaic,378,5,48,7,103,6,68,6,240,10,4,2,27,4,868,6
Salem,59,1,15,2,32,2,13,1,8,0,10,4,10,2,147,1
Somerset,236,3,7,1,29,2,21,2,47,2,3,1,19,3,362,3
Sussex,137,2,4,1,34,2,8,1,51,2,1,0,7,1,242,2
Union,363,5,34,5,81,4,57,5,146,6,2,1,26,4,709,5
Warren,96,1,2,0,32,2,21,2,12,1,13,5,5,1,181,1
Total,7277,100,695,100,1814,100,1211,100,2347,100,237,100,609,100,14190,100
